,0
880,Kirloskar Pneumatic Company Ltd
881,Va Tech Wabag Ltd
882,Kriti Nutrients Ltd
883,Orbit Exports Ltd
884,HOV Services Ltd
885,Chandra Prabhu International Ltd
886,Granules India Ltd
887,Navneet Education Ltd
888,Divis Laboratories Ltd
889,Virgo Global Ltd
890,Stratmont Industries Ltd
891,Sundram Fasteners Ltd
892,Amrutanjan Health Care Ltd
893,Sarda Energy & Minerals Ltd
894,Dharni Capital Services Ltd
895,Macpower CNC Machines Ltd
896,20 Microns Ltd
897,Sunshield Chemicals Ltd
898,Univastu India Ltd
899,Benchmark Computer Solutions Ltd
900,Sanrhea Technical Textile Ltd
901,Pearl Global Industries Ltd
902,Lumax Industries Ltd
903,Comrade Appliances Ltd
904,Talbros Automotive Components Ltd
905,Orient Electric Ltd
906,SagarSoft (India) Ltd
907,Bhansali Engineering Polymers Ltd
908,M K Proteins Ltd
909,Savera Industries Ltd
910,Faze Three Ltd
911,Uttam Sugar Mills Ltd
912,InfoBeans Technologies Ltd
913,Anuh Pharma Ltd
914,Walchand Peoplefirst Ltd
915,3B Blackbio DX Ltd
916,DCM Shriram Ltd
917,Vertoz Advertising Ltd
918,GMR Power & Urban Infra Ltd
919,Siddhika Coatings Ltd
920,Worth Peripherals Ltd
921,Tarsons Products Ltd
922,Interactive Financial Services Ltd
923,RKEC Projects Ltd
924,Vardhman Acrylics Ltd
925,Pattech Fitwell Tube Components Ltd
926,ZF Commercial Vehicle Control System India Ltd
927,Disa India Ltd
928,Dharmaj Crop Guard Ltd
929,Fredun Pharmaceuticals Ltd
930,Creative Castings Ltd
931,Shukra Pharmaceuticals Ltd
932,Eldeco Housing & Industries Ltd
933,Honda India Power Products Ltd
934,ITD Cementation India Ltd
935,Optimus Finance Ltd
936,Cenlub Industries Ltd
937,Intellect Design Arena Ltd
938,Shreyas Shipping & Logistics Ltd
939,Source Natural Foods & Herbal Supplements Ltd
940,Arman Financial Services Ltd
941,NCC Ltd
942,Maiden Forgings Ltd
943,SPL Industries Ltd
944,CARE Ratings Ltd
945,Omfurn India Ltd
946,Dr Agarwal's Eye Hospital Ltd
947,Prospect Commodities Ltd
948,Rexnord Electronics & Controls Ltd
949,Swarna Securities Ltd
950,Integrated Personnel Services Ltd
951,Supriya Lifescience Ltd
952,New Delhi Television Ltd
953,Veefin Solutions Ltd
954,Ramkrishna Forgings Ltd
955,Tatia Global Venture Ltd
956,Globus Spirits Ltd
957,Finolex Cables Ltd
958,Allcargo Logistics Ltd
959,Beardsell Ltd
960,Bajaj Electricals Ltd
961,Sofcom Systems Ltd
962,Kwality Pharmaceuticals Ltd
963,V-Marc India Ltd
964,Golkunda Diamonds & Jewellery Ltd
965,Rossari Biotech Ltd
966,Vijaya Diagnostic Centre Ltd
967,Aether Industries Ltd
968,Devyani International Ltd
969,Sandur Manganese & Iron Ores Ltd
970,Virtuoso Optoelectronics Ltd
971,Saint-Gobain Sekurit India Ltd
972,Krishival Foods Ltd
973,Lambodhara Textiles Ltd
974,Pudumjee Paper Products Ltd
975,Goyal Aluminiums Ltd
976,Vidli Restaurants Ltd
977,Birla Cable Ltd
978,Zenotech Laboratories Ltd
979,Poly Medicure Ltd
980,Sportking India Ltd
981,Udayshivakumar Infra Ltd
982,Avanti Feeds Ltd
983,Torrent Power Ltd
984,Captain Technocast Ltd
985,Shoora Designs Ltd
986,Jai Balaji Industries Ltd
987,Swasti Vinayaka Art & Heritage Corporation Ltd
988,Hisar Metal Industries Ltd
989,Hindustan Foods Ltd
990,SM Auto Stamping Ltd
991,Goel Food Products Ltd
992,Pitti Engineering Ltd
993,Shanti Spintex Ltd
994,Dr Lal Pathlabs Ltd
995,KDDL Ltd
996,TTK Prestige Ltd
997,Indian Sucrose Ltd
998,Jyothy Labs Ltd
999,Uno Minda Ltd
1000,DMR Hydroengineering & Infrastructures Ltd
1001,ICICI Securities Ltd
1002,Kirloskar Ferrous Industries Ltd
1003,Hindustan Copper Ltd
1004,M M Rubber Co Ltd
1005,Cipla Ltd
1006,Gujarat Ambuja Exports Ltd
1007,VRL Logistics Ltd
1008,Sangani Hospitals Ltd
1009,Radhika Jeweltech Ltd
1010,Gothi Plascon (India) Ltd
1011,Mac Hotels Ltd
1012,Baba Food Processing India Ltd
1013,Morganite Crucible (India) Ltd
1014,Carysil Ltd
1015,IRM Energy Ltd
1016,Indian Metals & Ferro Alloys Ltd
1017,Polychem Ltd
1018,Mayur Uniquoters Ltd
1019,Rail Vikas Nigam Ltd
1020,Jullundur Motor Agency (Delhi) Ltd
1021,Foods & Inns Ltd
1022,Wardwizard Innovations & Mobility Ltd
1023,Go Fashion (India) Ltd
1024,Lykis Ltd
1025,Wipro Ltd
1026,Rane Brake Lining Ltd
1027,Vinyas Innovative Technologies Ltd
1028,Century Extrusions Ltd
1029,Natco Pharma Ltd
1030,Servotech Power Systems Ltd
1031,Bikaji Foods International Ltd
1032,Ultracab (India) Ltd
1033,Scoobee Day Garments India Ltd
1034,Heranba Industries Ltd
1035,Kothari Sugars & Chemicals Ltd
1036,Kings Infra Ventures Ltd
1037,Akar Auto Industries Ltd
1038,Bharat Seats Ltd
1039,Haldyn Glass Ltd
1040,Titagarh Rail Systems Ltd
1041,Vidhi Specialty Food Ingredients Ltd
1042,Cindrella Financial Services Ltd
1043,Saregama India Ltd
1044,Triveni Engineering and Industries Ltd
1045,Aarvi Encon Ltd
1046,Shree Vasu Logistics Ltd
1047,Sky Gold Ltd
1048,Osia Hyper Retail Ltd
1049,Pasupati Acrylon Ltd
1050,T & I Global Ltd
1051,Indiamart Intermesh Ltd
1052,IRIS Business Services Ltd
1053,Ethos Ltd
1054,Marco Cables & Conductors Ltd
1055,Jayant Infratech Ltd
1056,Bosch Ltd
1057,Tyche Industries Ltd
1058,Kennametal India Ltd
1059,Metropolis Healthcare Ltd
1060,Shiv Aum Steels Ltd
1061,Indoco Remedies Ltd
1062,J Kumar Infraprojects Ltd
1063,Indo Amines Ltd
1064,Manoj Vaibhav Gems 'N' Jewellers Ltd
1065,JSL Industries Ltd
1066,Inflame Appliances Ltd
1067,Ascom Leasing & Investments Ltd
1068,PG Electroplast Ltd
1069,Goldstar Power Ltd
1070,Jay Jalaram Technologies Ltd
1071,Zen Technologies Ltd
1072,Sat Industries Ltd
1073,Archit Organosys Ltd
1074,R&B Denims Ltd
1075,Protean eGov Technologies Ltd
1076,TPL Plastech Ltd
1077,Urban Enviro Waste Management Ltd
1078,Birlasoft Ltd
1079,Vilin Bio Med Ltd
1080,Speciality Restaurants Ltd
1081,Relicab Cable Manufacturing Ltd
1082,Essen Speciality Films Ltd
1083,7Seas Entertainment Ltd
1084,Kaveri Seed Company Ltd
1085,Shervani Industrial Syndicate Ltd
1086,Ajwa Fun World & Resort Ltd
1087,Lorenzini Apparels Ltd
1088,Astra Microwave Products Ltd
1089,L T Foods Ltd
1090,Rain Industries Ltd
1091,Global Health Ltd
1092,Sasken Technologies Ltd
1093,Albert David Ltd
1094,Ram Ratna Wires Ltd
1095,Hariom Pipe Industries Ltd
1096,Cosmo First Ltd
1097,Arabian Petroleum Ltd
1098,ADF Foods Ltd
1099,Donear Industries Ltd
1100,W H Brady & Co Ltd
1101,Wanbury Ltd
1102,DB (International) Stock Brokers Ltd
1103,Hindustan Construction Company Ltd
1104,PCBL Ltd
1105,Rushil Decor Ltd
1106,Ultra Wiring Connectivity Systems Ltd
1107,Capacit'e Infraprojects Ltd
1108,Unjha Formulations Ltd
1109,Harsha Engineers International Ltd
1110,Siyaram Recycling Industries Ltd
1111,Precision Metaliks Ltd
1112,One Point One Solutions Ltd
1113,Nava Ltd
1114,Mitsu Chem Plast Ltd
1115,Shera Energy Ltd
1116,Rama Phosphates Ltd
1117,Thangamayil Jewellery Ltd
1118,Star Paper Mills Ltd
1119,Marathon Nextgen Realty Ltd
1120,Star Cement Ltd
1121,The Anup Engineering Ltd
1122,Kovai Medical Center & Hospital Ltd
1123,APM Industries Ltd
1124,Thinkink Picturez Ltd
1125,Vippy Spinpro Ltd
1126,ERIS Lifesciences Ltd
1127,Moksh Ornaments Ltd
1128,Avalon Technologies Ltd
1129,JSW Infrastructure Ltd
1130,Vesuvius India Ltd
1131,Kesar Terminals & Infrastructure Ltd
1132,Zim Laboratories Ltd
1133,NDR Auto Components Ltd
1134,International Travel House Ltd
1135,Teamo Productions HQ Ltd
1136,Alacrity Securities Ltd
1137,NRB Bearings Ltd
1138,Captain Pipes Ltd
1139,Medico Intercontinental Ltd
1140,Tridhya Tech Ltd
1141,Espire Hospitality Ltd
1142,Mahasagar Travels Ltd
1143,Godrej Consumer Products Ltd
1144,Goodluck India Ltd
1145,Kovilpatti Lakshmi Roller Flour Mills Ltd
1146,Minda Corporation Ltd
1147,Motisons Jewellers Ltd
1148,Intense Technologies Ltd
1149,Sun Pharmaceuticals Industries Ltd
1150,Shetron Ltd
1151,Iris Clothings Ltd
1152,Starlit Power Systems Ltd
1153,Maestros Electronics & Telecommun. Systems Ltd
1154,Ashapura Minechem Ltd
1155,Plaza Wires Ltd
1156,Dhatre Udyog Ltd
1157,Delta Corp Ltd
1158,Sikko Industries Ltd
1159,Bharat Wire Ropes Ltd
1160,B&B Triplewall Containers Ltd
1161,Railtel Corporation of India Ltd
1162,Dodla Dairy Ltd
1163,Swasti Vinayaka Synthetics Ltd
1164,Jubilant Foodworks Ltd
1165,ITL Industries Ltd
1166,Rudrabhishek Enterprises Ltd
1167,Shine Fashions (India) Ltd
1168,Meghmani Organics Ltd
1169,Aarti Pharmalabs Ltd
1170,Aristo Bio-Tech & Lifescience Ltd
1171,Amines & Plasticizers Ltd
1172,Humming Bird Education Ltd
1173,Denis Chem Lab Ltd
1174,Growington Ventures India Ltd
1175,Chambal Fertilisers & Chemicals Ltd
1176,DJ Mediaprint & Logistics Ltd
1177,Vinyoflex Ltd
1178,Oberoi Realty Ltd
1179,Jubilant Ingrevia Ltd
1180,National Plastic Technologies Ltd
1181,Marine Electricals (India) Ltd
1182,Latent View Analytics Ltd
1183,Mercury Laboratories Ltd
1184,Manaksia Ltd
1185,Andhra Sugars Ltd
1186,Crompton Greaves Consumer Electricals Ltd
1187,Nirmitee Robotics India Ltd
1188,Azad Engineering Ltd
1189,Matrimony.com Ltd
1190,Elnet Technologies Ltd
1191,AAA Technologies Ltd
1192,Swastika Investmart Ltd
1193,Anuroop Packaging Ltd
1194,Octavius Plantations Ltd
1195,Aegis Logistics Ltd
1196,VST Tillers Tractors Ltd
1197,Bafna Pharmaceuticals Ltd
1198,Arihant Capital Markets Ltd
1199,Chemtech Industrial Valves Ltd
1200,UTI Asset Management Company Ltd
1201,JTEKT India Ltd
1202,Rama Steel Tubes Ltd
1203,Ramky Infrastructure Ltd
1204,Sanghvi Brands Ltd
1205,Filatex Fashions Ltd
1206,Adani Power Ltd
1207,Tinplate Company of India Ltd
1208,Choice International Ltd
1209,Ceinsys Tech Ltd
1210,CCL Products (India) Ltd
1211,Ircon International Ltd
1212,Sinclairs Hotels Ltd
1213,Objectone Information Systems Ltd
1214,Shalibhadra Finance Ltd
1215,Suryaamba Spinning Mills Ltd
1216,Jindal Worldwide Ltd
1217,GRM Overseas Ltd
1218,Felix Industries Ltd
1219,Narmada Gelatines Ltd
1220,Som Distilleries & Breweries Ltd
1221,Uday Jewellery Industries Ltd
1222,Ekansh Concepts Ltd
1223,Krishna Defence & Allied Industries Ltd
1224,EIH Ltd
1225,KN Agri Resources Ltd
1226,B2B Software Technologies Ltd
1227,National Fertilizer Ltd
1228,Shankara Building Products Ltd
1229,R R Kabel Ltd
1230,Industrial Investment Trust Ltd
1231,Bharat Dynamics Ltd
1232,International Conveyors Ltd
1233,Cyient DLM Ltd
1234,Empire Industries Ltd
1235,Sangam (India) Ltd
1236,Silver Touch Technologies Ltd
1237,Prime Focus Ltd
1238,Religare Enterprises Ltd
1239,Dolfin Rubbers Ltd
1240,Bombay Burmah Trading Corporation Ltd
1241,Tilaknagar Industries Ltd
1242,Focus Business Solution Ltd
1243,Antony Waste Handling Cell Ltd
1244,Sudarshan Pharma Industries Ltd
1245,Senco Gold Ltd
1246,Divgi Torqtransfer Systems Ltd
1247,SBI Life Insurance Company Ltd
1248,Ritco Logistics Ltd
1249,Dwarikesh Sugar Industries Ltd
1250,Rex Pipes & Cables Industries Ltd
1251,JFL Life Sciences Ltd
1252,Khaitan Chemicals & Fertilizers Ltd
1253,Remsons Industries Ltd
1254,Duropack Ltd
1255,Chemcon Speciality Chemicals Ltd
1256,Bharat Gears Ltd
1257,Betex India Ltd
1258,Taneja Aerospace & Aviation Ltd
1259,BCPL Railway Infrastructure Ltd
1260,Aarti Drugs Ltd
1261,IVP Ltd
1262,Vital Chemtech Ltd
1263,Coral India Finance & Housing Ltd
1264,Shoppers Stop Ltd
1265,Atul Ltd
1266,Hathway Bhawani Cabletel & Datacom Ltd
1267,Thyrocare Technologies Ltd
1268,Suprajit Engineering Ltd
1269,Sanghvi Movers Ltd
1270,Euro Panel Products Ltd
1271,NACL Industries Ltd
1272,Dhampur Sugar Mills Ltd
1273,Dev Information Technology Ltd
1274,Tembo Global Industries Ltd
1275,Himalaya Food International Ltd
1276,Muthoot Capital Services Ltd
1277,AMD Industries Ltd
1278,SMC Global Securities Ltd
1279,HFCL Ltd
1280,GTPL Hathway Ltd
1281,Rajeshwari Cans Ltd
1282,Nalin Lease Finance Ltd
1283,Sukhjit Starch & Chemicals Ltd
1284,SKP Securities Ltd
1285,Raj Oil Mills Ltd
1286,National Aluminium Company Ltd
1287,Tamil Nadu Petro Products Ltd
1288,Kabra Extrusion Technik Ltd
1289,M M Forgings Ltd
1290,Novartis India Ltd
1291,Firstsource Solutions Ltd
1292,Indo Count Industries Ltd
1293,Thermax Ltd
1294,Natural Capsules Ltd
1295,Emmessar Biotech & Nutrition Ltd
1296,Shyam Metalics & Energy Ltd
1297,Adani Wilmar Ltd
1298,Hitech Corporation Ltd
1299,Tamboli Industries Ltd
1300,NILE Ltd
1301,Max Healthcare Institute Ltd
1302,Graphisads Ltd
1303,Zydus Lifesciences Ltd
1304,Jay Ushin Ltd
1305,RIR Power Electronics Ltd
1306,Virat Crane Industries Ltd
1307,Lakshmi Automatic Loom Works Ltd
1308,Stovec Industries Ltd
1309,Greenchef Appliances Ltd
1310,Wonder Electricals Ltd
1311,Syrma SGS Technology Ltd
1312,Hi-Tech Pipes Ltd
1313,Chemplast Sanmar Ltd
1314,Parnax Lab Ltd
1315,Symphony Ltd
1316,Transformers & Rectifiers India Ltd
1317,Samrat Forgings Ltd
1318,Sika Interplant Systems Ltd
1319,PNC Infratech Ltd
1320,Lumax Auto Technologies Ltd
1321,AGI Greenpac Ltd
1322,Westlife Foodworld Ltd
1323,Hindware Home Innovation Ltd
1324,Sunil Healthcare Ltd
1325,Total Transport Systems Ltd
1326,Ideaforge Technology Ltd
1327,Gorani Industries Ltd
1328,MOIL Ltd
1329,Sansera Engineering Ltd
1330,Raasi Refractories Ltd
1331,Star Health & Allied Insurance Company Ltd
1332,Gland Pharma Ltd
1333,Baheti Recycling Industries Ltd
1334,HEG Ltd
1335,CIE Automotive India Ltd
1336,Mishra Dhatu Nigam Ltd
1337,Federal-Mogul Goetze (India) Ltd
1338,Pokarna Ltd
1339,Indo US Bio-Tech Ltd
1340,Associated Alcohols & Breweries Ltd
1341,Swiss Military Consumer Goods Ltd
1342,Vishal Fabrics Ltd
1343,Rama Vision Ltd
1344,RHI Magnesita India Ltd
1345,S P Apparels Ltd
1346,Aptus Value Housing Finance India Ltd
1347,MCON Rasayan India Ltd
1348,Beekay Steel Industries Ltd
1349,Syngene International Ltd
1350,Zensar Technologies Ltd
1351,Apollo Hospitals Enterprise Ltd
1352,Maruti Suzuki India Ltd
1353,Beekay Niryat Ltd
1354,Ratnaveer Precision Engineering Ltd
1355,V-Guard Industries Ltd
1356,Vertexplus Technologies Ltd
1357,Geojit Financial Services Ltd
1358,Kansai Nerolac Paints Ltd
1359,Five-Star Business Finance Ltd
1360,Arihant Superstructures Ltd
1361,De Neers Tools Ltd
1362,Kalyan Capitals Ltd
1363,Sahyadri Industries Ltd
1364,Hindcon Chemicals Ltd
1365,Kaira Can Company Ltd
1366,Steel City Securities Ltd
1367,Billwin Industries Ltd
1368,UPL Ltd
1369,Automobile Corporation Of Goa Ltd
1370,Kellton Tech Solutions Ltd
1371,Salasar Techno Engineering Ltd
1372,Madhusudan Industries Ltd
1373,Smart Finsec Ltd
1374,Best Eastern Hotels Ltd
1375,JK Lakshmi Cement Ltd
1376,Northern Spirits Ltd
1377,Fusion Micro Finance Ltd
1378,Sam Industries Ltd
1379,Voith Paper Fabrics India Ltd
1380,Mindteck (India) Ltd
1381,Glenmark Pharmaceuticals Ltd
1382,D & H India Ltd
1383,GPT Infraprojects Ltd
1384,Godavari Drugs Ltd
1385,Aries Agro Ltd
1386,Jindal Steel & Power Ltd
1387,Crop Life Science Ltd
1388,Navigant Corporate Advisors Ltd
1389,Cool Caps Industries Ltd
1390,Shree Krishna Paper Mills & Industries Ltd
1391,Valiant Organics Ltd
1392,GVK Power & Infrastructure Ltd
1393,Auto Pins (India) Ltd
1394,Kalpataru Projects International Ltd
1395,Windlas Biotech Ltd
1396,Khazanchi Jewellers Ltd
1397,Ceejay Finance Ltd
1398,City Online Services Ltd
1399,Tasty Bite Eatables Ltd
1400,Shreeoswal Seeds & Chemicals Ltd
1401,We Win Ltd
1402,Future Market Networks Ltd
1403,Oil & Natural Gas Corpn Ltd
1404,Premco Global Ltd
1405,CWD Ltd
1406,Pramara Promotions Ltd
1407,Deep Polymers Ltd
1408,Le Lavoir Ltd
1409,Integra Essentia Ltd
1410,Team Lease Services Ltd
1411,BCL Industries Ltd
1412,QMS Medical Allied Services Ltd
1413,Salona Cotspin Ltd
1414,Gujarat Intrux Ltd
1415,Rishi Laser Ltd
1416,Yatra Online Ltd
1417,Delton Cables Ltd
1418,Balkrishna Industries Ltd
1419,Greenlam Industries Ltd
1420,Paramount Communications Ltd
1421,B.L.Kashyap & Sons Ltd
1422,Endurance Technologies Ltd
1423,HBL Power Systems Ltd
1424,Taylormade Renewables Ltd
1425,Mahickra Chemicals Ltd
1426,Arvind Fashions Ltd
1427,Himadri Speciality Chemical Ltd
1428,Rishabh Instruments Ltd
1429,Container Corporation Of India Ltd
1430,Patel Engineering Ltd
1431,Ameya Precision Engineers Ltd
1432,CSL Finance Ltd
1433,Alkem Laboratories Ltd
1434,IOL Chemicals & Pharmaceuticals Ltd
1435,Prima Plastics Ltd
1436,Dutron Polymers Ltd
1437,Kanoria Energy & Infrastructure Ltd
1438,Destiny Logistics & Infra Ltd
1439,Cords Cable Industries Ltd
1440,Ashika Credit Capital Ltd
1441,Winsome Textile Industries Ltd
1442,Sheela Foam Ltd
1443,Star Delta Transformers Ltd
1444,Marinetrans India Ltd
1445,Patanjali Foods Ltd
1446,Mangalore Chemicals & Fertilizers Ltd
1447,Nitin Castings Ltd
1448,Rasi Electrodes Ltd
1449,Optiemus Infracom Ltd
1450,Oriental Hotels Ltd
1451,NLC India Ltd
1452,Frontier Springs Ltd
1453,Gujarat Hotels Ltd
1454,Kolte Patil Developers Ltd
1455,Shree Tirupati Balajee FIBC Ltd
1456,Kirloskar Oil Engines Ltd
1457,Archidply Industries Ltd
1458,Cil Securities Ltd
1459,Rubfila International Ltd
1460,Bhartiya International Ltd
1461,NOCIL Ltd
1462,ASM Technologies Ltd
1463,Agro Phos India Ltd
1464,Gian Lifecare Ltd
1465,Gujarat State Fertilizers & Chemicals Ltd
1466,Kirloskar Industries Ltd
1467,SAL Automotive Ltd
1468,KIC Metaliks Ltd
1469,360 ONE WAM Ltd
1470,Sharda Ispat Ltd
1471,Comfort Fincap Ltd
1472,Sterling Tools Ltd
1473,Qgo Finance Ltd
1474,B C C Fuba India Ltd
1475,Nilkamal Ltd
1476,Pennar Industries Ltd
1477,Kalyani Steels Ltd
1478,Olectra Greentech Ltd
1479,Ambo Agritec Ltd
1480,Sheshadri Industries Ltd
1481,Ind-Swift Laboratories Ltd
1482,Jayant Agro Organics Ltd
1483,Cargosol Logistics Ltd
1484,Mohit Paper Mills Ltd
1485,BSE Ltd
1486,Madhav Infra Projects Ltd
1487,Shalimar Wires Industries Ltd
1488,Acme Resources Ltd
1489,Calcom Vision Ltd
1490,TVS Motor Company Ltd
1491,Multi Commodity Exchange of India Ltd
1492,Standard Industries Ltd
1493,Neogen Chemicals Ltd
1494,Manorama Industries Ltd
1495,EP Biocomposites Ltd
1496,Paras Defence and Space Technologies Ltd
1497,DCX Systems Ltd
1498,Jindal Drilling & Industries Ltd
1499,SRG Housing Finance Ltd
1500,Veto Switchgears & Cables Ltd
1501,Solitaire Machine Tools Ltd
1502,Power Grid Corporation of India Ltd
1503,Time Technoplast Ltd
1504,Confidence Petroleum India Ltd
1505,SBI Cards & Payment Services Ltd
1506,Universal Starch Chem Allied Ltd
1507,Libas Consumer Products Ltd
1508,Arfin India Ltd
1509,Challani Capital Ltd
1510,T.V. Today Network Ltd
1511,Gretex Industries Ltd
1512,Manomay Tex India Ltd
1513,Patels Airtemp (India) Ltd
1514,Motilal Oswal Financial Services Ltd
1515,Bedmutha Industries Ltd
1516,Balmer Lawrie Investment Ltd
1517,International Combustion (India) Ltd
1518,Eveready Industries India Ltd
1519,UltraTech Cement Ltd
1520,Hitachi Energy India Ltd
1521,Sonu Infratech Ltd
1522,Acknit Industries Ltd
1523,Yash Chemex Ltd
1524,Sandesh Ltd
1525,Thakkers Developers Ltd
1526,Tirupati Starch & Chemicals Ltd
1527,Sahaj Fashions Ltd
1528,IFB Agro Industries Ltd
1529,Pritika Auto Industries Ltd
1530,FDC Ltd
1531,RPP Infra Projects Ltd
1532,Globesecure Technologies Ltd
1533,Piccadily Agro Industries Ltd
1534,Contil India Ltd
1535,Celebrity Fashions Ltd
1536,Birla Precision Technologies Ltd
1537,Allied Digital Services Ltd
1538,Gateway Distriparks Ltd
1539,Upsurge Seeds of Agriculture Ltd
1540,Reetech International Cargo & Courier Ltd
1541,Filatex India Ltd
1542,Ecoplast Ltd
1543,Roopa Industries Ltd
1544,Jagatjit Industries Ltd
1545,Lux Industries Ltd
1546,Cheviot Company Ltd
1547,Wim Plast Ltd
1548,Mahindra & Mahindra Ltd
1549,Kalyan Jewellers India Ltd
1550,B & A Ltd
1551,Dollex Agrotech Ltd
1552,Resonance Specialities Ltd
1553,Axel Polymers Ltd
1554,Tata Steel Ltd
1555,Ambuja Cements Ltd
1556,Arvind Ltd
1557,Indian Hotels Co Ltd
1558,Airo Lam Ltd
1559,Jagan Lamps Ltd
1560,Ambar Protein Industries Ltd
1561,Anupam Rasayan India Ltd
1562,Rana Sugars Ltd
1563,Ravindra Energy Ltd
1564,Trident Texofab Ltd
1565,Vaswani Industries Ltd
1566,Innovatus Entertainment Networks Ltd
1567,Stove Kraft Ltd
1568,Synergy Green Industries Ltd
1569,Rajoo Engineers Ltd
1570,Alicon Castalloy Ltd
1571,Jindal Poly Films Ltd
1572,Dhabriya Polywood Ltd
1573,Panasonic Carbon India Company Ltd
1574,Rudra Global Infra Products Ltd
1575,Neelamalai Agro Industries Ltd
1576,5Paisa Capital Ltd
1577,Signet Industries Ltd
1578,Harrisons Malayalam Ltd
1579,Gensol Engineering Ltd
1580,Zenlabs Ethica Ltd
1581,TVS Electronics Ltd
1582,Weizmann Ltd
1583,Bharti Airtel Ltd
1584,Sadbhav Infrastructure Projects Ltd
1585,Prince Pipes & Fittings Ltd
1586,Mysore Petro Chemicals Ltd
1587,Updater Services Ltd
1588,Poddar Pigments Ltd
1589,Bhaskar Agrochemicals Ltd
1590,EPL Ltd
1591,Osiajee Texfab Ltd
1592,GP Petroleums Ltd
1593,KKV Agro Powers Ltd
1594,Nuvama Wealth Management Ltd
1595,Odyssey Technologies Ltd
1596,PTC Industries Ltd
1597,Dalmia Bharat Sugar & Industries Ltd
1598,Reliable Data Services Ltd
1599,Rane (Madras) Ltd
1600,AGS Transact Technologies Ltd
1601,Mohini Health & Hygiene Ltd
1602,Shriram Finance Ltd
1603,NHC Foods Ltd
1604,Finkurve Financial Services Ltd
1605,Lakshmi Electrical Control Systems Ltd
1606,Abhishek Integrations Ltd
1607,Apollo Micro Systems Ltd
1608,Muthoot Finance Ltd
1609,National Plastic Industries Ltd
1610,Mystic Electronics Ltd
1611,CreditAccess Grameen Ltd
1612,Kokuyo Camlin Ltd
1613,Indian Terrain Fashions Ltd
1614,Emerald Finance Ltd
1615,Universal Cables Ltd
1616,Electronics Mart India Ltd
1617,Bombay Cycle & Motor Agency Ltd
1618,Solex Energy Ltd
1619,Salzer Electronics Ltd
1620,Orient Cement Ltd
1621,Inspirisys Solutions Ltd
1622,Sumit Woods Ltd
1623,HP Adhesives Ltd
1624,BSL Ltd
1625,Continental Securities Ltd
1626,Everest Kanto Cylinder Ltd
1627,Krsnaa Diagnostics Ltd
1628,City Crops Agro Ltd
1629,Bannari Amman Sugars Ltd
1630,TVS Holdings Ltd
1631,Advanced Enzyme Technologies Ltd
1632,Nitin Spinners Ltd
1633,Tracxn Technologies Ltd
1634,Max Financial Services Ltd
1635,Trident Ltd
1636,Bright Outdoor Media Ltd
1637,Skipper Ltd
1638,Bajaj Healthcare Ltd
1639,Ridings Consulting Engineers India Ltd
1640,Garware Hi Tech Films Ltd
1641,Sunflag Iron & Steel Company Ltd
1642,Power & Instrumentation (Gujarat) Ltd
1643,Rite Zone Chemcon India Ltd
1644,Relaxo Footwears Ltd
1645,Airan Ltd
1646,D B Corp Ltd
1647,Tyroon Tea Company Ltd
1648,Apollo Sindoori Hotels Ltd
1649,Step Two Corporation Ltd
1650,Sangal Papers Ltd
1651,Kritika Wires Ltd
1652,Bajaj Finance Ltd
1653,Bliss GVS Pharma Ltd
1654,JBM Auto Ltd
1655,K E C International Ltd
1656,Selan Explorations Technology Ltd
1657,Manappuram Finance Ltd
1658,Tata Power Company Ltd
1659,Bella Casa Fashion & Retail Ltd
1660,Viaz Tyres Ltd
1661,AVG Logistics Ltd
1662,Maheshwari Logistics Ltd
1663,Dev Labtech Venture Ltd
1664,Ponni Sugars (Erode) Ltd
1665,Earum Pharmaceuticals Ltd
1666,Prime Securities Ltd
1667,G G Engineering Ltd
1668,Healthy Life Agritec Ltd
1669,Greenply Industries Ltd
1670,Tata Chemicals Ltd
1671,Indian Hume Pipe Company Ltd
1672,Polyplex Corporation Ltd
1673,Radico Khaitan Ltd
1674,Beryl Drugs Ltd
1675,Larsen & Toubro Ltd
1676,Harish Textile Engineers Ltd
1677,Hittco Tools Ltd
1678,Hindustan Tin Works Ltd
1679,Sovereign Diamonds Ltd
1680,Gilada Finance & Investments Ltd
1681,Shree Pushkar Chemicals & Fertilizers Ltd
1682,Droneacharya Aerial Innovations Ltd
1683,IIFL Finance Ltd
1684,XT Global Infotech Ltd
1685,Laxmi Organic Industries Ltd
1686,Riddhi Corporate Services Ltd
1687,NGL Fine Chem Ltd
1688,Hawa Engineers Ltd
1689,Trent Ltd
1690,BMW Industries Ltd
1691,Everest Industries Ltd
1692,Vardhman Textiles Ltd
1693,Khandelwal Extractions Ltd
1694,Mangalam Alloys Ltd
1695,Artemis Medicare Services Ltd
1696,United Breweries Ltd
1697,Globe Textiles (India) Ltd
1698,Samkrg Pistons & Rings Ltd
1699,Ashok Leyland Ltd
1700,Duroply Industries Ltd
1701,MAS Financial Services Ltd
1702,Western India Plywoods Ltd
1703,Freshtrop Fruits Ltd
1704,CESC Ltd
1705,Paisalo Digital Ltd
1706,Aditya Birla Capital Ltd
1707,Rishiroop Ltd
1708,Veeram Securities Ltd
1709,Deco-Mica Ltd
1710,Basant Agro Tech (India) Ltd
1711,Spectrum Electrical Industries Ltd
1712,Hindalco Industries Ltd
